"","msa.fips","year","earnings.by.place.of.work"
"new.row","11500",1969,281639
"new.row.1","11500",1970,281209
"new.row.2","11500",1971,316006
"new.row.3","11500",1972,354651
"new.row.4","11500",1973,382844
"new.row.5","11500",1974,416868
"new.row.6","11500",1975,465230
"new.row.7","11500",1976,527701
"new.row.8","11500",1977,594978
"new.row.9","11500",1978,649030
"new.row.10","11500",1979,699507
"new.row.11","11500",1980,791567
"new.row.12","11500",1981,858813
"new.row.13","11500",1982,904266
"new.row.14","11500",1983,963649
"new.row.15","11500",1984,1069347
"new.row.16","11500",1985,1122374
"new.row.17","11500",1986,1175085
"new.row.18","11500",1987,1224135
"new.row.19","11500",1988,1294601
"new.row.20","11500",1989,1342209
"new.row.21","11500",1990,1375166
"new.row.22","11500",1991,1448841
"new.row.23","11500",1992,1503071
"new.row.24","11500",1993,1527776
"new.row.25","11500",1994,1560502
"new.row.26","11500",1995,1611923
"new.row.27","11500",1996,1627666
"new.row.28","11500",1997,1696850
"new.row.29","11500",1998,1789268
"new.row.30","11500",1999,1810627
"new.row.31","11500",2000,1739733
"new.row.32","11500",2001,1789548
"new.row.33","11500",2002,1881076
"new.row.34","11500",2003,1991363
"new.row.35","11500",2004,2160242
"new.row.36","11500",2005,2290309
"new.row.37","11500",2006,2409655
"new.row.38","11500",2007,2578715
"new.row.39","11500",2008,2633153
"new.row.40","11500",2009,2560764
"new.row.41","11500",2010,2570402
"new.row.42","11500",2011,2595043
"new.row.43","11500",2012,2532904
"new.row.44","12220",1969,129015
"new.row.45","12220",1970,137756
"new.row.46","12220",1971,151028
"new.row.47","12220",1972,172264
"new.row.48","12220",1973,196806
"new.row.49","12220",1974,215106
"new.row.50","12220",1975,230330
"new.row.51","12220",1976,261676
"new.row.52","12220",1977,306449
"new.row.53","12220",1978,354634
"new.row.54","12220",1979,385665
"new.row.55","12220",1980,429220
"new.row.56","12220",1981,466458
"new.row.57","12220",1982,480337
"new.row.58","12220",1983,541642
"new.row.59","12220",1984,613472
"new.row.60","12220",1985,652173
"new.row.61","12220",1986,683219
"new.row.62","12220",1987,730752
"new.row.63","12220",1988,800223
"new.row.64","12220",1989,888687
"new.row.65","12220",1990,931180
"new.row.66","12220",1991,956005
"new.row.67","12220",1992,1039796
"new.row.68","12220",1993,1089791
"new.row.69","12220",1994,1144848
"new.row.70","12220",1995,1199846
"new.row.71","12220",1996,1234798
"new.row.72","12220",1997,1313634
"new.row.73","12220",1998,1401717
"new.row.74","12220",1999,1501271
"new.row.75","12220",2000,1552097
"new.row.76","12220",2001,1570906
"new.row.77","12220",2002,1690892
"new.row.78","12220",2003,1783425
"new.row.79","12220",2004,1975771
"new.row.80","12220",2005,2095341
"new.row.81","12220",2006,2251145
"new.row.82","12220",2007,2345780
"new.row.83","12220",2008,2423816
"new.row.84","12220",2009,2410320
"new.row.85","12220",2010,2448876
"new.row.86","12220",2011,2576008
"new.row.87","12220",2012,2689402
"new.row.88","13820",1969,2250321
"new.row.89","13820",1970,2400171
"new.row.90","13820",1971,2611966
"new.row.91","13820",1972,2932875
"new.row.92","13820",1973,3307720
"new.row.93","13820",1974,3704826
"new.row.94","13820",1975,4064355
"new.row.95","13820",1976,4533013
"new.row.96","13820",1977,5048204
"new.row.97","13820",1978,5705562
"new.row.98","13820",1979,6338349
"new.row.99","13820",1980,6743380
"new.row.100","13820",1981,7156303
"new.row.101","13820",1982,7428975
"new.row.102","13820",1983,7876041
"new.row.103","13820",1984,8672204
"new.row.104","13820",1985,9436890
"new.row.105","13820",1986,10029740
"new.row.106","13820",1987,10683291
"new.row.107","13820",1988,11616824
"new.row.108","13820",1989,12363754
"new.row.109","13820",1990,13302352
"new.row.110","13820",1991,13957692
"new.row.111","13820",1992,15000177
"new.row.112","13820",1993,15657429
"new.row.113","13820",1994,16605813
"new.row.114","13820",1995,17635657
"new.row.115","13820",1996,18697641
"new.row.116","13820",1997,19577406
"new.row.117","13820",1998,21237142
"new.row.118","13820",1999,22661300
"new.row.119","13820",2000,24318709
"new.row.120","13820",2001,25390265
"new.row.121","13820",2002,26421256
"new.row.122","13820",2003,27132001
"new.row.123","13820",2004,28785519
"new.row.124","13820",2005,30135935
"new.row.125","13820",2006,31657206
"new.row.126","13820",2007,32621422
"new.row.127","13820",2008,33109691
"new.row.128","13820",2009,31709779
"new.row.129","13820",2010,31904010
"new.row.130","13820",2011,33406775
"new.row.131","13820",2012,34933202
"new.row.132","17980",1969,818069
"new.row.133","17980",1970,781675
"new.row.134","17980",1971,825816
"new.row.135","17980",1972,854668
"new.row.136","17980",1973,920138
"new.row.137","17980",1974,991256
"new.row.138","17980",1975,1044880
"new.row.139","17980",1976,1171320
"new.row.140","17980",1977,1298858
"new.row.141","17980",1978,1440835
"new.row.142","17980",1979,1525234
"new.row.143","17980",1980,1634706
"new.row.144","17980",1981,1774484
"new.row.145","17980",1982,1912618
"new.row.146","17980",1983,2033101
"new.row.147","17980",1984,2287389
"new.row.148","17980",1985,2466491
"new.row.149","17980",1986,2652347
"new.row.150","17980",1987,2842799
"new.row.151","17980",1988,3011284
"new.row.152","17980",1989,3085101
"new.row.153","17980",1990,3248659
"new.row.154","17980",1991,3375824
"new.row.155","17980",1992,3668123
"new.row.156","17980",1993,3770474
"new.row.157","17980",1994,3918499
"new.row.158","17980",1995,4059186
"new.row.159","17980",1996,4257388
"new.row.160","17980",1997,4582132
"new.row.161","17980",1998,4950876
"new.row.162","17980",1999,5230169
"new.row.163","17980",2000,5460226
"new.row.164","17980",2001,5627664
"new.row.165","17980",2002,5748585
"new.row.166","17980",2003,6032495
"new.row.167","17980",2004,6286512
"new.row.168","17980",2005,6705304
"new.row.169","17980",2006,7083541
"new.row.170","17980",2007,7339856
"new.row.171","17980",2008,7628473
"new.row.172","17980",2009,7665401
"new.row.173","17980",2010,7875444
"new.row.174","17980",2011,8260817
"new.row.175","17980",2012,8619567
"new.row.176","19300",1969,80561
"new.row.177","19300",1970,85209
"new.row.178","19300",1971,98179
"new.row.179","19300",1972,113969
"new.row.180","19300",1973,141812
"new.row.181","19300",1974,155713
"new.row.182","19300",1975,168466
"new.row.183","19300",1976,208413
"new.row.184","19300",1977,212251
"new.row.185","19300",1978,239988
"new.row.186","19300",1979,249142
"new.row.187","19300",1980,265708
"new.row.188","19300",1981,302248
"new.row.189","19300",1982,306950
"new.row.190","19300",1983,356944
"new.row.191","19300",1984,400486
"new.row.192","19300",1985,452196
"new.row.193","19300",1986,478873
"new.row.194","19300",1987,513494
"new.row.195","19300",1988,543979
"new.row.196","19300",1989,587661
"new.row.197","19300",1990,643869
"new.row.198","19300",1991,715919
"new.row.199","19300",1992,795881
"new.row.200","19300",1993,888563
"new.row.201","19300",1994,988581
"new.row.202","19300",1995,1098233
"new.row.203","19300",1996,1221007
"new.row.204","19300",1997,1325685
"new.row.205","19300",1998,1522691
"new.row.206","19300",1999,1684422
"new.row.207","19300",2000,1826094
"new.row.208","19300",2001,1839876
"new.row.209","19300",2002,1928235
"new.row.210","19300",2003,2067824
"new.row.211","19300",2004,2267398
"new.row.212","19300",2005,2482203
"new.row.213","19300",2006,2762926
"new.row.214","19300",2007,2907668
"new.row.215","19300",2008,2937898
"new.row.216","19300",2009,2821128
"new.row.217","19300",2010,2871269
"new.row.218","19300",2011,3022161
"new.row.219","19300",2012,3130618
"new.row.220","19460",1969,236257
