"","msa.fips","year","nonfarm.personal.income"
"new.row","11500",1969,301274
"new.row.1","11500",1970,311253
"new.row.2","11500",1971,350730
"new.row.3","11500",1972,392760
"new.row.4","11500",1973,426466
"new.row.5","11500",1974,481350
"new.row.6","11500",1975,549898
"new.row.7","11500",1976,617007
"new.row.8","11500",1977,694150
"new.row.9","11500",1978,767450
"new.row.10","11500",1979,840267
"new.row.11","11500",1980,963477
"new.row.12","11500",1981,1059995
"new.row.13","11500",1982,1134561
"new.row.14","11500",1983,1211336
"new.row.15","11500",1984,1332662
"new.row.16","11500",1985,1396276
"new.row.17","11500",1986,1462259
"new.row.18","11500",1987,1520827
"new.row.19","11500",1988,1599053
"new.row.20","11500",1989,1686202
"new.row.21","11500",1990,1736936
"new.row.22","11500",1991,1821508
"new.row.23","11500",1992,1935962
"new.row.24","11500",1993,1986357
"new.row.25","11500",1994,2059120
"new.row.26","11500",1995,2170154
"new.row.27","11500",1996,2229210
"new.row.28","11500",1997,2311730
"new.row.29","11500",1998,2462252
"new.row.30","11500",1999,2485444
"new.row.31","11500",2000,2486069
"new.row.32","11500",2001,2604957
"new.row.33","11500",2002,2728115
"new.row.34","11500",2003,2883695
"new.row.35","11500",2004,3077610
"new.row.36","11500",2005,3213985
"new.row.37","11500",2006,3394914
"new.row.38","11500",2007,3620260
"new.row.39","11500",2008,3732705
"new.row.40","11500",2009,3696029
"new.row.41","11500",2010,3763713
"new.row.42","11500",2011,3832456
"new.row.43","11500",2012,3819675
"new.row.44","11500",2013,3775975
"new.row.45","12220",1969,150708
"new.row.46","12220",1970,166580
"new.row.47","12220",1971,185489
"new.row.48","12220",1972,209523
"new.row.49","12220",1973,237059
"new.row.50","12220",1974,268457
"new.row.51","12220",1975,299315
"new.row.52","12220",1976,336696
"new.row.53","12220",1977,388224
"new.row.54","12220",1978,445233
"new.row.55","12220",1979,492114
"new.row.56","12220",1980,557919
"new.row.57","12220",1981,612602
"new.row.58","12220",1982,650311
"new.row.59","12220",1983,722596
"new.row.60","12220",1984,804455
"new.row.61","12220",1985,864278
"new.row.62","12220",1986,917583
"new.row.63","12220",1987,977159
"new.row.64","12220",1988,1056911
"new.row.65","12220",1989,1183366
"new.row.66","12220",1990,1244217
"new.row.67","12220",1991,1311021
"new.row.68","12220",1992,1440696
"new.row.69","12220",1993,1521672
"new.row.70","12220",1994,1633298
"new.row.71","12220",1995,1760768
"new.row.72","12220",1996,1848145
"new.row.73","12220",1997,1997391
"new.row.74","12220",1998,2163275
"new.row.75","12220",1999,2303187
"new.row.76","12220",2000,2435141
"new.row.77","12220",2001,2539399
"new.row.78","12220",2002,2663747
"new.row.79","12220",2003,2801728
"new.row.80","12220",2004,3034160
"new.row.81","12220",2005,3223208
"new.row.82","12220",2006,3463991
