"","msa.fips","year","net.earnings.by.place.of.residence"
"new.row","11500",1969,237696
"new.row.1","11500",1970,236534
"new.row.2","11500",1971,264947
"new.row.3","11500",1972,298116
"new.row.4","11500",1973,321347
"new.row.5","11500",1974,349519
"new.row.6","11500",1975,390892
"new.row.7","11500",1976,444005
"new.row.8","11500",1977,502670
"new.row.9","11500",1978,552700
"new.row.10","11500",1979,598068
"new.row.11","11500",1980,674026
"new.row.12","11500",1981,724832
"new.row.13","11500",1982,758868
"new.row.14","11500",1983,803735
"new.row.15","11500",1984,888608
"new.row.16","11500",1985,926132
"new.row.17","11500",1986,969542
"new.row.18","11500",1987,1009788
"new.row.19","11500",1988,1063875
"new.row.20","11500",1989,1099594
"new.row.21","11500",1990,1124269
"new.row.22","11500",1991,1180563
"new.row.23","11500",1992,1230914
"new.row.24","11500",1993,1251709
"new.row.25","11500",1994,1286211
"new.row.26","11500",1995,1329755
"new.row.27","11500",1996,1350107
"new.row.28","11500",1997,1412526
"new.row.29","11500",1998,1488968
"new.row.30","11500",1999,1511466
"new.row.31","11500",2000,1472471
"new.row.32","11500",2001,1521115
"new.row.33","11500",2002,1599221
"new.row.34","11500",2003,1688874
"new.row.35","11500",2004,1825948
"new.row.36","11500",2005,1932111
"new.row.37","11500",2006,2021189
"new.row.38","11500",2007,2135503
"new.row.39","11500",2008,2165421
"new.row.40","11500",2009,2092068
"new.row.41","11500",2010,2092097
"new.row.42","11500",2011,2138001
"new.row.43","11500",2012,2101737
"new.row.44","11500",2013,2024149
"new.row.45","12220",1969,124668
"new.row.46","12220",1970,134833
"new.row.47","12220",1971,149547
"new.row.48","12220",1972,169707
"new.row.49","12220",1973,191661
"new.row.50","12220",1974,210553
"new.row.51","12220",1975,227039
"new.row.52","12220",1976,259475
"new.row.53","12220",1977,301684
"new.row.54","12220",1978,348769
"new.row.55","12220",1979,380393
"new.row.56","12220",1980,421156
"new.row.57","12220",1981,451601
"new.row.58","12220",1982,466561
"new.row.59","12220",1983,521001
"new.row.60","12220",1984,584302
"new.row.61","12220",1985,625697
"new.row.62","12220",1986,660351
"new.row.63","12220",1987,708340
"new.row.64","12220",1988,766169
"new.row.65","12220",1989,841098
"new.row.66","12220",1990,885258
"new.row.67","12220",1991,927378
"new.row.68","12220",1992,1021183
"new.row.69","12220",1993,1088405
"new.row.70","12220",1994,1158335
"new.row.71","12220",1995,1230001
"new.row.72","12220",1996,1291115
"new.row.73","12220",1997,1392208
"new.row.74","12220",1998,1513409
"new.row.75","12220",1999,1632061
"new.row.76","12220",2000,1704664
"new.row.77","12220",2001,1755219
"new.row.78","12220",2002,1855271
"new.row.79","12220",2003,1930210
"new.row.80","12220",2004,2098448
"new.row.81","12220",2005,2218346
"new.row.82","12220",2006,2360852
"new.row.83","12220",2007,2455218
"new.row.84","12220",2008,2524324
"new.row.85","12220",2009,2519937
"new.row.86","12220",2010,2572373
"new.row.87","12220",2011,2740425
"new.row.88","12220",2012,2836026
"new.row.89","12220",2013,2915424
"new.row.90","13820",1969,2076727
"new.row.91","13820",1970,2218228
"new.row.92","13820",1971,2400410
"new.row.93","13820",1972,2672070
"new.row.94","13820",1973,2973796
"new.row.95","13820",1974,3317087
"new.row.96","13820",1975,3647572
"new.row.97","13820",1976,4068627
"new.row.98","13820",1977,4534177
"new.row.99","13820",1978,5120185
"new.row.100","13820",1979,5671115
"new.row.101","13820",1980,6043221
"new.row.102","13820",1981,6345148
"new.row.103","13820",1982,6572927
"new.row.104","13820",1983,6954055
"new.row.105","13820",1984,7646347
"new.row.106","13820",1985,8307550
"new.row.107","13820",1986,8823304
"new.row.108","13820",1987,9404650
"new.row.109","13820",1988,10175839
"new.row.110","13820",1989,10834411
"new.row.111","13820",1990,11640662
"new.row.112","13820",1991,12202832
"new.row.113","13820",1992,13131560
"new.row.114","13820",1993,13701992
"new.row.115","13820",1994,14504532
"new.row.116","13820",1995,15393055
"new.row.117","13820",1996,16341032
"new.row.118","13820",1997,17110213
"new.row.119","13820",1998,18638066
"new.row.120","13820",1999,19907406
"new.row.121","13820",2000,21421572
"new.row.122","13820",2001,22266968
"new.row.123","13820",2002,23172931
"new.row.124","13820",2003,23797760
"new.row.125","13820",2004,25284731
"new.row.126","13820",2005,26468725
"new.row.127","13820",2006,27834116
"new.row.128","13820",2007,28590705
"new.row.129","13820",2008,28985613
"new.row.130","13820",2009,27765618
"new.row.131","13820",2010,27910706
"new.row.132","13820",2011,29626607
"new.row.133","13820",2012,31077454
"new.row.134","13820",2013,31484044
"new.row.135","17980",1969,759035
"new.row.136","17980",1970,723805
"new.row.137","17980",1971,761094
"new.row.138","17980",1972,785847
"new.row.139","17980",1973,838636
"new.row.140","17980",1974,896775
"new.row.141","17980",1975,938245
"new.row.142","17980",1976,1042442
"new.row.143","17980",1977,1149178
"new.row.144","17980",1978,1267933
"new.row.145","17980",1979,1337233
"new.row.146","17980",1980,1434467
"new.row.147","17980",1981,1578869
"new.row.148","17980",1982,1700215
"new.row.149","17980",1983,1797733
"new.row.150","17980",1984,2011985
"new.row.151","17980",1985,2157791
"new.row.152","17980",1986,2315100
"new.row.153","17980",1987,2477084
"new.row.154","17980",1988,2613475
"new.row.155","17980",1989,2666683
"new.row.156","17980",1990,2808090
"new.row.157","17980",1991,2903919
"new.row.158","17980",1992,3137981
"new.row.159","17980",1993,3206646
"new.row.160","17980",1994,3319303
"new.row.161","17980",1995,3434077
"new.row.162","17980",1996,3582815
"new.row.163","17980",1997,3834704
"new.row.164","17980",1998,4135882
"new.row.165","17980",1999,4353722
"new.row.166","17980",2000,4532548
"new.row.167","17980",2001,4714552
"new.row.168","17980",2002,4834886
"new.row.169","17980",2003,5086525
"new.row.170","17980",2004,5292078
"new.row.171","17980",2005,5646434
"new.row.172","17980",2006,5966863
"new.row.173","17980",2007,6184616
"new.row.174","17980",2008,6396600
"new.row.175","17980",2009,6425222
"new.row.176","17980",2010,6579533
"new.row.177","17980",2011,7006466
"new.row.178","17980",2012,7324243
"new.row.179","17980",2013,7343187
"new.row.180","19300",1969,118927
"new.row.181","19300",1970,126389
"new.row.182","19300",1971,142867
"new.row.183","19300",1972,163114
"new.row.184","19300",1973,194545
"new.row.185","19300",1974,215589
"new.row.186","19300",1975,237470
"new.row.187","19300",1976,285601
"new.row.188","19300",1977,299654
"new.row.189","19300",1978,342645
"new.row.190","19300",1979,362515
"new.row.191","19300",1980,398201
"new.row.192","19300",1981,454440
"new.row.193","19300",1982,464828
"new.row.194","19300",1983,520674
"new.row.195","19300",1984,579224
"new.row.196","19300",1985,652658
"new.row.197","19300",1986,696643
"new.row.198","19300",1987,747249
"new.row.199","19300",1988,797726
"new.row.200","19300",1989,868121
"new.row.201","19300",1990,959349
"new.row.202","19300",1991,1082119
"new.row.203","19300",1992,1211982
"new.row.204","19300",1993,1351673
"new.row.205","19300",1994,1474370
"new.row.206","19300",1995,1591449
"new.row.207","19300",1996,1750719
"new.row.208","19300",1997,1912079
"new.row.209","19300",1998,2097631
"new.row.210","19300",1999,2258806
"new.row.211","19300",2000,2443759
"new.row.212","19300",2001,2474966
"new.row.213","19300",2002,2542733
"new.row.214","19300",2003,2682913
"new.row.215","19300",2004,2897808
"new.row.216","19300",2005,3132876
"new.row.217","19300",2006,3441112
"new.row.218","19300",2007,3620063
"new.row.219","19300",2008,3725087
"new.row.220","19300",2009,3705880
"new.row.221","19300",2010,3884059
"new.row.222","19300",2011,4240527
"new.row.223","19300",2012,4395040
"new.row.224","19300",2013,4548554
"new.row.225","19460",1969,258510
"new.row.226","19460",1970,285002
"new.row.227","19460",1971,298518
"new.row.228","19460",1972,323288
"new.row.229","19460",1973,358617
"new.row.230","19460",1974,381868
"new.row.231","19460",1975,429113
"new.row.232","19460",1976,474742
"new.row.233","19460",1977,531286
"new.row.234","19460",1978,603729
"new.row.235","19460",1979,688790
"new.row.236","19460",1980,706460
"new.row.237","19460",1981,777548
"new.row.238","19460",1982,793759
"new.row.239","19460",1983,859127
"new.row.240","19460",1984,994828
"new.row.241","19460",1985,1092561
"new.row.242","19460",1986,1168750
"new.row.243","19460",1987,1245651
"new.row.244","19460",1988,1362940
"new.row.245","19460",1989,1452333
"new.row.246","19460",1990,1536819
"new.row.247","19460",1991,1620733
"new.row.248","19460",1992,1751738
"new.row.249","19460",1993,1812152
"new.row.250","19460",1994,1912470
"new.row.251","19460",1995,1969628
"new.row.252","19460",1996,2030436
"new.row.253","19460",1997,2102584
"new.row.254","19460",1998,2275090
"new.row.255","19460",1999,2370605
"new.row.256","19460",2000,2392615
"new.row.257","19460",2001,2450637
"new.row.258","19460",2002,2467650
"new.row.259","19460",2003,2554346
"new.row.260","19460",2004,2724246
"new.row.261","19460",2005,2822615
"new.row.262","19460",2006,2921771
"new.row.263","19460",2007,3032200
"new.row.264","19460",2008,3071596
"new.row.265","19460",2009,2925990
"new.row.266","19460",2010,2942997
"new.row.267","19460",2011,3030115
"new.row.268","19460",2012,3119672
"new.row.269","19460",2013,3142123
"new.row.270","20020",1969,196735
"new.row.271","20020",1970,215085
"new.row.272","20020",1971,236095
"new.row.273","20020",1972,268218
"new.row.274","20020",1973,332731
"new.row.275","20020",1974,363015
"new.row.276","20020",1975,378672
"new.row.277","20020",1976,444435
"new.row.278","20020",1977,475203
"new.row.279","20020",1978,539806
"new.row.280","20020",1979,576138
"new.row.281","20020",1980,607445
"new.row.282","20020",1981,724589
"new.row.283","20020",1982,719619
"new.row.284","20020",1983,750577
"new.row.285","20020",1984,860428
