"","msa.fips","year","personal.current.transfer.receipts"
"new.row","11500",1969,8061
"new.row.1","11500",1970,8323
"new.row.2","11500",1971,9312
"new.row.3","11500",1972,10650
"new.row.4","11500",1973,13272
"new.row.5","11500",1974,14941
"new.row.6","11500",1975,16098
"new.row.7","11500",1976,18978
"new.row.8","11500",1977,21359
"new.row.9","11500",1978,23662
"new.row.10","11500",1979,26946
"new.row.11","11500",1980,30032
"new.row.12","11500",1981,35582
"new.row.13","11500",1982,37495
"new.row.14","11500",1983,42777
"new.row.15","11500",1984,47697
"new.row.16","11500",1985,52819
"new.row.17","11500",1986,54591
"new.row.18","11500",1987,57673
"new.row.19","11500",1988,64685
"new.row.20","11500",1989,69097
"new.row.21","11500",1990,72223
"new.row.22","11500",1991,76872
"new.row.23","11500",1992,79733
"new.row.24","11500",1993,83276
"new.row.25","11500",1994,87879
"new.row.26","11500",1995,92481
"new.row.27","11500",1996,93556
"new.row.28","11500",1997,98064
"new.row.29","11500",1998,101870
"new.row.30","11500",1999,105098
"new.row.31","11500",2000,102380
"new.row.32","11500",2001,106686
"new.row.33","11500",2002,112747
"new.row.34","11500",2003,119079
"new.row.35","11500",2004,128216
"new.row.36","11500",2005,136982
"new.row.37","11500",2006,146218
"new.row.38","11500",2007,158774
"new.row.39","11500",2008,164798
"new.row.40","11500",2009,160503
"new.row.41","11500",2010,160992
"new.row.42","11500",2011,129768
"new.row.43","11500",2012,128750
"new.row.44","12220",1969,5022
"new.row.45","12220",1970,5400
"new.row.46","12220",1971,5945
"new.row.47","12220",1972,7015
"new.row.48","12220",1973,9130
"new.row.49","12220",1974,10508
"new.row.50","12220",1975,11365
"new.row.51","12220",1976,12948
"new.row.52","12220",1977,14986
"new.row.53","12220",1978,17252
"new.row.54","12220",1979,19429
"new.row.55","12220",1980,21853
"new.row.56","12220",1981,25842
"new.row.57","12220",1982,27279
"new.row.58","12220",1983,30747
"new.row.59","12220",1984,34433
"new.row.60","12220",1985,37442
"new.row.61","12220",1986,38207
"new.row.62","12220",1987,40432
"new.row.63","12220",1988,46359
"new.row.64","12220",1989,51535
"new.row.65","12220",1990,54462
"new.row.66","12220",1991,56009
"new.row.67","12220",1992,60104
"new.row.68","12220",1993,62835
"new.row.69","12220",1994,67172
"new.row.70","12220",1995,71095
"new.row.71","12220",1996,72611
"new.row.72","12220",1997,77572
"new.row.73","12220",1998,80774
"new.row.74","12220",1999,86068
"new.row.75","12220",2000,88381
"new.row.76","12220",2001,90470
"new.row.77","12220",2002,97167
"new.row.78","12220",2003,102306
"new.row.79","12220",2004,112233
"new.row.80","12220",2005,120385
"new.row.81","12220",2006,132311
"new.row.82","12220",2007,140426
"new.row.83","12220",2008,146467
"new.row.84","12220",2009,145671
"new.row.85","12220",2010,146101
"new.row.86","12220",2011,121065
"new.row.87","12220",2012,126590
"new.row.88","13820",1969,82644
"new.row.89","13820",1970,88689
"new.row.90","13820",1971,97144
"new.row.91","13820",1972,112785
"new.row.92","13820",1973,144761
"new.row.93","13820",1974,168285
"new.row.94","13820",1975,182625
"new.row.95","13820",1976,205675
"new.row.96","13820",1977,228585
"new.row.97","13820",1978,260874
"new.row.98","13820",1979,301545
"new.row.99","13820",1980,325888
"new.row.100","13820",1981,376260
"new.row.101","13820",1982,398814
"new.row.102","13820",1983,428537
"new.row.103","13820",1984,471112
"new.row.104","13820",1985,530977
"new.row.105","13820",1986,558824
"new.row.106","13820",1987,592156
"new.row.107","13820",1988,668015
"new.row.108","13820",1989,722097
"new.row.109","13820",1990,786065
"new.row.110","13820",1991,835026
"new.row.111","13820",1992,882983
"new.row.112","13820",1993,931903
"new.row.113","13820",1994,1004214
"new.row.114","13820",1995,1081576
"new.row.115","13820",1996,1134450
"new.row.116","13820",1997,1186922
"new.row.117","13820",1998,1252017
"new.row.118","13820",1999,1335044
"new.row.119","13820",2000,1408841
"new.row.120","13820",2001,1472584
"new.row.121","13820",2002,1538333
"new.row.122","13820",2003,1577312
"new.row.123","13820",2004,1663989
"new.row.124","13820",2005,1762832
"new.row.125","13820",2006,1884670
"new.row.126","13820",2007,1985620
"new.row.127","13820",2008,2044138
"new.row.128","13820",2009,1966995
"new.row.129","13820",2010,1958531
"new.row.130","13820",2011,1613659
"new.row.131","13820",2012,1691790
"new.row.132","17980",1969,22337
"new.row.133","17980",1970,22212
"new.row.134","17980",1971,24116
"new.row.135","17980",1972,26273
"new.row.136","17980",1973,32721
"new.row.137","17980",1974,36988
"new.row.138","17980",1975,38559
"new.row.139","17980",1976,43479
"new.row.140","17980",1977,48633
"new.row.141","17980",1978,55073
"new.row.142","17980",1979,61384
"new.row.143","17980",1980,66932
"new.row.144","17980",1981,78267
"new.row.145","17980",1982,84914
"new.row.146","17980",1983,93145
"new.row.147","17980",1984,105943
"new.row.148","17980",1985,118962
"new.row.149","17980",1986,128476
"new.row.150","17980",1987,138398
"new.row.151","17980",1988,153445
"new.row.152","17980",1989,162134
"new.row.153","17980",1990,171355
"new.row.154","17980",1991,180937
"new.row.155","17980",1992,193984
"new.row.156","17980",1993,204229
"new.row.157","17980",1994,217284
"new.row.158","17980",1995,228110
"new.row.159","17980",1996,236432
"new.row.160","17980",1997,252337
"new.row.161","17980",1998,266952
"new.row.162","17980",1999,281230
"new.row.163","17980",2000,289604
"new.row.164","17980",2001,300608
"new.row.165","17980",2002,307762
"new.row.166","17980",2003,318125
"new.row.167","17980",2004,332279
"new.row.168","17980",2005,350985
"new.row.169","17980",2006,369535
"new.row.170","17980",2007,383156
"new.row.171","17980",2008,406278
"new.row.172","17980",2009,409350
"new.row.173","17980",2010,424722
"new.row.174","17980",2011,344818
"new.row.175","17980",2012,356192
"new.row.176","19300",1969,3037
"new.row.177","19300",1970,3336
"new.row.178","19300",1971,3680
"new.row.179","19300",1972,4428
"new.row.180","19300",1973,5809
"new.row.181","19300",1974,6874
"new.row.182","19300",1975,7625
"new.row.183","19300",1976,9050
"new.row.184","19300",1977,10194
"new.row.185","19300",1978,11100
"new.row.186","19300",1979,12820
"new.row.187","19300",1980,14076
"new.row.188","19300",1981,16969
"new.row.189","19300",1982,18458
"new.row.190","19300",1983,21133
"new.row.191","19300",1984,23847
"new.row.192","19300",1985,27265
"new.row.193","19300",1986,27981
"new.row.194","19300",1987,29710
"new.row.195","19300",1988,33265
"new.row.196","19300",1989,37042
"new.row.197","19300",1990,40859
"new.row.198","19300",1991,45593
"new.row.199","19300",1992,49914
"new.row.200","19300",1993,56169
"new.row.201","19300",1994,64238
"new.row.202","19300",1995,71873
"new.row.203","19300",1996,78279
"new.row.204","19300",1997,84762
"new.row.205","19300",1998,94059
"new.row.206","19300",1999,102639
"new.row.207","19300",2000,109622
"new.row.208","19300",2001,113516
"new.row.209","19300",2002,120576
"new.row.210","19300",2003,128612
"new.row.211","19300",2004,141274
"new.row.212","19300",2005,158541
