"","msa.fips","year","total.employment"
"new.row","11500",1969,48874
"new.row.1","11500",1970,46650
"new.row.2","11500",1971,47036
"new.row.3","11500",1972,48347
"new.row.4","11500",1973,49305
"new.row.5","11500",1974,50224
"new.row.6","11500",1975,50663
"new.row.7","11500",1976,53001
"new.row.8","11500",1977,55396
"new.row.9","11500",1978,56359
"new.row.10","11500",1979,56639
"new.row.11","11500",1980,57453
"new.row.12","11500",1981,55980
"new.row.13","11500",1982,55531
"new.row.14","11500",1983,56216
"new.row.15","11500",1984,58552
"new.row.16","11500",1985,58483
"new.row.17","11500",1986,59039
"new.row.18","11500",1987,59851
"new.row.19","11500",1988,61561
"new.row.20","11500",1989,61654
"new.row.21","11500",1990,61400
"new.row.22","11500",1991,60775
"new.row.23","11500",1992,61360
"new.row.24","11500",1993,61935
"new.row.25","11500",1994,60986
"new.row.26","11500",1995,61993
"new.row.27","11500",1996,62273
"new.row.28","11500",1997,63984
"new.row.29","11500",1998,64347
"new.row.30","11500",1999,63119
"new.row.31","11500",2000,60916
"new.row.32","11500",2001,59782
"new.row.33","11500",2002,60331
"new.row.34","11500",2003,61027
"new.row.35","11500",2004,63189
"new.row.36","11500",2005,63835
"new.row.37","11500",2006,64603
"new.row.38","11500",2007,66547
"new.row.39","11500",2008,65043
"new.row.40","11500",2009,62000
"new.row.41","11500",2010,60483
"new.row.42","11500",2011,60826
"new.row.43","11500",2012,60291
"new.row.44","12220",1969,24953
"new.row.45","12220",1970,25031
"new.row.46","12220",1971,24952
"new.row.47","12220",1972,26173
"new.row.48","12220",1973,27551
"new.row.49","12220",1974,27763
"new.row.50","12220",1975,27700
"new.row.51","12220",1976,28875
"new.row.52","12220",1977,30460
"new.row.53","12220",1978,32087
"new.row.54","12220",1979,32315
"new.row.55","12220",1980,32917
"new.row.56","12220",1981,32811
"new.row.57","12220",1982,32816
"new.row.58","12220",1983,34028
"new.row.59","12220",1984,36719
"new.row.60","12220",1985,37024
"new.row.61","12220",1986,37444
"new.row.62","12220",1987,38845
"new.row.63","12220",1988,40675
"new.row.64","12220",1989,43158
"new.row.65","12220",1990,43140
"new.row.66","12220",1991,43300
"new.row.67","12220",1992,44434
"new.row.68","12220",1993,45513
"new.row.69","12220",1994,46095
"new.row.70","12220",1995,48314
"new.row.71","12220",1996,49880
"new.row.72","12220",1997,51253
"new.row.73","12220",1998,51954
"new.row.74","12220",1999,52914
"new.row.75","12220",2000,54761
"new.row.76","12220",2001,54171
"new.row.77","12220",2002,56167
"new.row.78","12220",2003,57288
"new.row.79","12220",2004,60871
"new.row.80","12220",2005,63477
"new.row.81","12220",2006,66238
"new.row.82","12220",2007,68359
"new.row.83","12220",2008,68583
"new.row.84","12220",2009,67134
"new.row.85","12220",2010,66836
"new.row.86","12220",2011,69471
"new.row.87","12220",2012,71859
"new.row.88","13820",1969,352866
"new.row.89","13820",1970,356195
"new.row.90","13820",1971,360430
"new.row.91","13820",1972,373689
"new.row.92","13820",1973,388783
"new.row.93","13820",1974,398688
"new.row.94","13820",1975,399287
"new.row.95","13820",1976,407393
"new.row.96","13820",1977,421750
"new.row.97","13820",1978,435995
"new.row.98","13820",1979,445633
"new.row.99","13820",1980,438371
"new.row.100","13820",1981,430843
"new.row.101","13820",1982,423068
"new.row.102","13820",1983,425578
"new.row.103","13820",1984,442199
"new.row.104","13820",1985,457464
"new.row.105","13820",1986,471914
"new.row.106","13820",1987,485505
"new.row.107","13820",1988,500481
"new.row.108","13820",1989,507055
"new.row.109","13820",1990,518079
"new.row.110","13820",1991,519983
"new.row.111","13820",1992,528501
"new.row.112","13820",1993,542304
"new.row.113","13820",1994,549975
"new.row.114","13820",1995,566345
"new.row.115","13820",1996,578023
"new.row.116","13820",1997,590779
"new.row.117","13820",1998,603670
"new.row.118","13820",1999,612593
"new.row.119","13820",2000,619397
"new.row.120","13820",2001,622268
"new.row.121","13820",2002,621579
"new.row.122","13820",2003,621342
"new.row.123","13820",2004,635453
"new.row.124","13820",2005,650399
"new.row.125","13820",2006,663730
"new.row.126","13820",2007,678123
"new.row.127","13820",2008,674542
"new.row.128","13820",2009,646003
"new.row.129","13820",2010,636553
"new.row.130","13820",2011,644168
"new.row.131","13820",2012,659258
"new.row.132","17980",1969,139154
"new.row.133","17980",1970,122623
"new.row.134","17980",1971,120026
"new.row.135","17980",1972,115160
"new.row.136","17980",1973,116481
"new.row.137","17980",1974,117043
"new.row.138","17980",1975,114971
"new.row.139","17980",1976,119819
"new.row.140","17980",1977,124514
"new.row.141","17980",1978,127399
"new.row.142","17980",1979,126043
"new.row.143","17980",1980,125648
"new.row.144","17980",1981,123547
"new.row.145","17980",1982,126188
"new.row.146","17980",1983,126279
"new.row.147","17980",1984,133890
"new.row.148","17980",1985,136899
"new.row.149","17980",1986,139494
"new.row.150","17980",1987,141956
"new.row.151","17980",1988,144303
"new.row.152","17980",1989,142868
"new.row.153","17980",1990,142037
"new.row.154","17980",1991,138678
"new.row.155","17980",1992,142086
"new.row.156","17980",1993,144549
"new.row.157","17980",1994,145839
"new.row.158","17980",1995,147697
"new.row.159","17980",1996,152880
"new.row.160","17980",1997,157278
"new.row.161","17980",1998,162449
"new.row.162","17980",1999,163940
"new.row.163","17980",2000,166636
"new.row.164","17980",2001,163415
"new.row.165","17980",2002,161608
"new.row.166","17980",2003,161872
"new.row.167","17980",2004,165278
"new.row.168","17980",2005,168424
"new.row.169","17980",2006,170929
"new.row.170","17980",2007,170754
"new.row.171","17980",2008,172934
"new.row.172","17980",2009,172182
"new.row.173","17980",2010,173917
"new.row.174","17980",2011,178901
"new.row.175","17980",2012,182765
"new.row.176","19300",1969,20008
"new.row.177","19300",1970,19749
"new.row.178","19300",1971,20505
"new.row.179","19300",1972,21727
"new.row.180","19300",1973,23015
"new.row.181","19300",1974,23738
"new.row.182","19300",1975,24458
"new.row.183","19300",1976,25750
"new.row.184","19300",1977,26965
"new.row.185","19300",1978,27291
"new.row.186","19300",1979,27875
"new.row.187","19300",1980,27777
"new.row.188","19300",1981,28722
"new.row.189","19300",1982,29388
"new.row.190","19300",1983,31306
"new.row.191","19300",1984,33057
"new.row.192","19300",1985,33969
"new.row.193","19300",1986,34674
"new.row.194","19300",1987,36081
"new.row.195","19300",1988,37654
"new.row.196","19300",1989,38889
"new.row.197","19300",1990,40545
"new.row.198","19300",1991,42388
"new.row.199","19300",1992,44246
"new.row.200","19300",1993,47280
"new.row.201","19300",1994,50770
"new.row.202","19300",1995,54511
