"","msa.fips","year","per.capita.personal.income"
"new.row","11500",1969,2954
"new.row.1","11500",1970,3038
"new.row.2","11500",1971,3405
"new.row.3","11500",1972,3809
"new.row.4","11500",1973,4114
"new.row.5","11500",1974,4567
"new.row.6","11500",1975,5192
"new.row.7","11500",1976,5513
"new.row.8","11500",1977,6197
"new.row.9","11500",1978,6634
"new.row.10","11500",1979,7241
"new.row.11","11500",1980,8064
"new.row.12","11500",1981,8806
"new.row.13","11500",1982,9329
"new.row.14","11500",1983,10010
"new.row.15","11500",1984,10969
"new.row.16","11500",1985,11793
"new.row.17","11500",1986,12456
"new.row.18","11500",1987,12881
"new.row.19","11500",1988,13666
"new.row.20","11500",1989,14613
"new.row.21","11500",1990,15107
"new.row.22","11500",1991,16001
"new.row.23","11500",1992,16822
"new.row.24","11500",1993,17212
"new.row.25","11500",1994,17829
"new.row.26","11500",1995,18688
"new.row.27","11500",1996,19239
"new.row.28","11500",1997,19859
"new.row.29","11500",1998,21131
"new.row.30","11500",1999,21696
"new.row.31","11500",2000,22424
"new.row.32","11500",2001,23502
"new.row.33","11500",2002,24491
"new.row.34","11500",2003,25651
"new.row.35","11500",2004,27218
"new.row.36","11500",2005,28216
"new.row.37","11500",2006,29482
"new.row.38","11500",2007,31210
"new.row.39","11500",2008,31907
"new.row.40","11500",2009,31308
"new.row.41","11500",2010,31835
"new.row.42","11500",2011,32585
"new.row.43","11500",2012,32635
"new.row.44","11500",2013,32432
"new.row.45","12220",1969,2737
"new.row.46","12220",1970,2755
"new.row.47","12220",1971,3042
"new.row.48","12220",1972,3424
"new.row.49","12220",1973,3735
"new.row.50","12220",1974,3928
"new.row.51","12220",1975,4337
"new.row.52","12220",1976,4861
"new.row.53","12220",1977,5461
"new.row.54","12220",1978,6100
"new.row.55","12220",1979,6569
"new.row.56","12220",1980,7365
"new.row.57","12220",1981,7958
"new.row.58","12220",1982,8308
"new.row.59","12220",1983,9193
"new.row.60","12220",1984,10064
"new.row.61","12220",1985,10704
"new.row.62","12220",1986,11130
"new.row.63","12220",1987,11877
"new.row.64","12220",1988,12553
"new.row.65","12220",1989,13845
"new.row.66","12220",1990,14249
"new.row.67","12220",1991,14752
"new.row.68","12220",1992,15805
"new.row.69","12220",1993,16317
"new.row.70","12220",1994,17094
"new.row.71","12220",1995,17800
"new.row.72","12220",1996,18140
"new.row.73","12220",1997,18796
"new.row.74","12220",1998,19722
"new.row.75","12220",1999,20436
"new.row.76","12220",2000,21126
"new.row.77","12220",2001,21779
"new.row.78","12220",2002,22557
"new.row.79","12220",2003,23392
"new.row.80","12220",2004,24889
"new.row.81","12220",2005,25604
"new.row.82","12220",2006,26860
"new.row.83","12220",2007,27874
"new.row.84","12220",2008,29013
"new.row.85","12220",2009,28339
"new.row.86","12220",2010,28838
"new.row.87","12220",2011,29800
"new.row.88","12220",2012,30332
"new.row.89","12220",2013,30499
"new.row.90","13820",1969,3193
"new.row.91","13820",1970,3411
"new.row.92","13820",1971,3696
"new.row.93","13820",1972,4076
"new.row.94","13820",1973,4523
"new.row.95","13820",1974,5056
"new.row.96","13820",1975,5588
"new.row.97","13820",1976,6117
"new.row.98","13820",1977,6657
"new.row.99","13820",1978,7398
"new.row.100","13820",1979,8197
"new.row.101","13820",1980,8980
"new.row.102","13820",1981,9761
"new.row.103","13820",1982,10374
"new.row.104","13820",1983,11009
"new.row.105","13820",1984,12029
"new.row.106","13820",1985,12930
"new.row.107","13820",1986,13604
"new.row.108","13820",1987,14324
"new.row.109","13820",1988,15493
"new.row.110","13820",1989,16845
"new.row.111","13820",1990,17960
"new.row.112","13820",1991,18646
"new.row.113","13820",1992,19730
"new.row.114","13820",1993,20418
"new.row.115","13820",1994,21542
"new.row.116","13820",1995,22778
"new.row.117","13820",1996,23757
"new.row.118","13820",1997,24850
"new.row.119","13820",1998,26447
"new.row.120","13820",1999,27524
"new.row.121","13820",2000,29455
"new.row.122","13820",2001,30341
"new.row.123","13820",2002,31266
"new.row.124","13820",2003,32155
"new.row.125","13820",2004,34481
"new.row.126","13820",2005,36074
"new.row.127","13820",2006,37903
"new.row.128","13820",2007,38933
"new.row.129","13820",2008,39712
"new.row.130","13820",2009,37674
"new.row.131","13820",2010,38556
"new.row.132","13820",2011,40262
"new.row.133","13820",2012,42124
"new.row.134","13820",2013,42570
"new.row.135","17980",1969,3858
"new.row.136","17980",1970,3791
"new.row.137","17980",1971,4019
"new.row.138","17980",1972,4284
"new.row.139","17980",1973,4814
"new.row.140","17980",1974,5133
"new.row.141","17980",1975,5369
"new.row.142","17980",1976,5795
"new.row.143","17980",1977,6379
"new.row.144","17980",1978,6931
"new.row.145","17980",1979,7388
"new.row.146","17980",1980,8105
"new.row.147","17980",1981,9053
"new.row.148","17980",1982,9746
"new.row.149","17980",1983,10390
"new.row.150","17980",1984,11504
"new.row.151","17980",1985,12301
"new.row.152","17980",1986,13062
"new.row.153","17980",1987,13776
"new.row.154","17980",1988,14710
"new.row.155","17980",1989,15279
"new.row.156","17980",1990,16040
"new.row.157","17980",1991,16804
"new.row.158","17980",1992,17677
"new.row.159","17980",1993,18089
"new.row.160","17980",1994,18687
"new.row.161","17980",1995,19536
"new.row.162","17980",1996,20232
"new.row.163","17980",1997,21382
"new.row.164","17980",1998,23074
"new.row.165","17980",1999,23995
"new.row.166","17980",2000,25111
"new.row.167","17980",2001,26405
"new.row.168","17980",2002,27334
"new.row.169","17980",2003,29303
"new.row.170","17980",2004,30213
"new.row.171","17980",2005,32326
"new.row.172","17980",2006,34049
"new.row.173","17980",2007,35660
"new.row.174","17980",2008,36715
"new.row.175","17980",2009,36212
"new.row.176","17980",2010,36909
"new.row.177","17980",2011,38883
"new.row.178","17980",2012,39155
"new.row.179","17980",2013,39012
"new.row.180","19300",1969,2758
"new.row.181","19300",1970,2900
"new.row.182","19300",1971,3264
"new.row.183","19300",1972,3577
"new.row.184","19300",1973,4163
"new.row.185","19300",1974,4614
"new.row.186","19300",1975,5077
"new.row.187","19300",1976,5759
"new.row.188","19300",1977,5983
"new.row.189","19300",1978,6626
"new.row.190","19300",1979,7042
"new.row.191","19300",1980,7761
"new.row.192","19300",1981,8895
"new.row.193","19300",1982,9186
"new.row.194","19300",1983,10019
"new.row.195","19300",1984,10803
"new.row.196","19300",1985,11711
"new.row.197","19300",1986,12202
"new.row.198","19300",1987,12670
"new.row.199","19300",1988,13524
"new.row.200","19300",1989,14950
"new.row.201","19300",1990,15825
"new.row.202","19300",1991,16926
"new.row.203","19300",1992,18125
"new.row.204","19300",1993,19131
"new.row.205","19300",1994,20174
"new.row.206","19300",1995,21210
"new.row.207","19300",1996,22362
"new.row.208","19300",1997,23525
"new.row.209","19300",1998,24838
"new.row.210","19300",1999,25705
"new.row.211","19300",2000,27307
"new.row.212","19300",2001,27491
"new.row.213","19300",2002,27776
"new.row.214","19300",2003,28274
"new.row.215","19300",2004,30460
"new.row.216","19300",2005,32005
"new.row.217","19300",2006,34333
"new.row.218","19300",2007,35708
"new.row.219","19300",2008,36054
"new.row.220","19300",2009,35030
"new.row.221","19300",2010,36469
"new.row.222","19300",2011,38208
"new.row.223","19300",2012,38847
"new.row.224","19300",2013,39100
"new.row.225","19460",1969,3075
"new.row.226","19460",1970,3335
"new.row.227","19460",1971,3485
"new.row.228","19460",1972,3709
"new.row.229","19460",1973,4094
"new.row.230","19460",1974,4346
"new.row.231","19460",1975,4931
"new.row.232","19460",1976,5366
"new.row.233","19460",1977,5877
"new.row.234","19460",1978,6519
"new.row.235","19460",1979,7352
"new.row.236","19460",1980,7918
"new.row.237","19460",1981,8883
"new.row.238","19460",1982,9306
"new.row.239","19460",1983,9984
"new.row.240","19460",1984,11267
"new.row.241","19460",1985,12194
"new.row.242","19460",1986,12850
"new.row.243","19460",1987,13404
"new.row.244","19460",1988,14509
"new.row.245","19460",1989,15635
"new.row.246","19460",1990,16426
"new.row.247","19460",1991,17120
"new.row.248","19460",1992,18166
"new.row.249","19460",1993,18555
"new.row.250","19460",1994,19622
"new.row.251","19460",1995,20327
"new.row.252","19460",1996,20929
"new.row.253","19460",1997,21632
"new.row.254","19460",1998,23008
"new.row.255","19460",1999,23683
"new.row.256","19460",2000,24266
"new.row.257","19460",2001,24708
"new.row.258","19460",2002,25109
"new.row.259","19460",2003,26086
"new.row.260","19460",2004,27566
"new.row.261","19460",2005,28514
"new.row.262","19460",2006,29752
"new.row.263","19460",2007,30977
"new.row.264","19460",2008,32083
"new.row.265","19460",2009,31013
"new.row.266","19460",2010,31510
"new.row.267","19460",2011,32249
"new.row.268","19460",2012,33122
"new.row.269","19460",2013,33721
"new.row.270","20020",1969,2734
"new.row.271","20020",1970,3021
"new.row.272","20020",1971,3281
"new.row.273","20020",1972,3560
"new.row.274","20020",1973,4245
"new.row.275","20020",1974,4513
"new.row.276","20020",1975,4799
"new.row.277","20020",1976,5429
"new.row.278","20020",1977,5769
"new.row.279","20020",1978,6427
"new.row.280","20020",1979,6942
"new.row.281","20020",1980,7561
"new.row.282","20020",1981,8940
"new.row.283","20020",1982,9126
"new.row.284","20020",1983,9622
"new.row.285","20020",1984,10826
"new.row.286","20020",1985,11306
"new.row.287","20020",1986,12010
