"","msa.fips","year","dividends.interest.and.rent"
"new.row","11500",1969,40926
"new.row.1","11500",1970,45711
"new.row.2","11500",1971,51342
"new.row.3","11500",1972,57082
"new.row.4","11500",1973,63485
"new.row.5","11500",1974,76136
"new.row.6","11500",1975,88695
"new.row.7","11500",1976,97368
"new.row.8","11500",1977,111472
"new.row.9","11500",1978,128452
"new.row.10","11500",1979,141923
"new.row.11","11500",1980,169001
"new.row.12","11500",1981,197857
"new.row.13","11500",1982,224483
"new.row.14","11500",1983,242193
"new.row.15","11500",1984,270170
"new.row.16","11500",1985,285868
"new.row.17","11500",1986,302533
"new.row.18","11500",1987,313960
"new.row.19","11500",1988,332248
"new.row.20","11500",1989,365923
"new.row.21","11500",1990,373150
"new.row.22","11500",1991,377100
"new.row.23","11500",1992,394132
"new.row.24","11500",1993,407897
"new.row.25","11500",1994,425549
"new.row.26","11500",1995,464050
"new.row.27","11500",1996,481726
"new.row.28","11500",1997,485934
"new.row.29","11500",1998,539749
"new.row.30","11500",1999,510357
"new.row.31","11500",2000,514733
"new.row.32","11500",2001,543089
"new.row.33","11500",2002,540878
"new.row.34","11500",2003,570771
"new.row.35","11500",2004,609838
"new.row.36","11500",2005,601264
"new.row.37","11500",2006,636728
"new.row.38","11500",2007,700701
"new.row.39","11500",2008,716077
"new.row.40","11500",2009,657369
"new.row.41","11500",2010,659941
"new.row.42","11500",2011,666560
"new.row.43","11500",2012,697086
"new.row.44","12220",1969,17572
"new.row.45","12220",1970,20613
"new.row.46","12220",1971,23489
"new.row.47","12220",1972,25984
"new.row.48","12220",1973,29228
"new.row.49","12220",1974,34577
"new.row.50","12220",1975,39698
"new.row.51","12220",1976,44188
"new.row.52","12220",1977,51405
"new.row.53","12220",1978,60243
"new.row.54","12220",1979,68075
"new.row.55","12220",1980,81689
"new.row.56","12220",1981,100099
"new.row.57","12220",1982,116239
"new.row.58","12220",1983,126329
"new.row.59","12220",1984,140442
"new.row.60","12220",1985,153352
"new.row.61","12220",1986,165759
"new.row.62","12220",1987,175568
"new.row.63","12220",1988,192057
"new.row.64","12220",1989,227448
"new.row.65","12220",1990,230256
"new.row.66","12220",1991,241563
"new.row.67","12220",1992,255098
"new.row.68","12220",1993,266338
"new.row.69","12220",1994,284807
"new.row.70","12220",1995,324408
"new.row.71","12220",1996,335084
"new.row.72","12220",1997,367117
"new.row.73","12220",1998,400672
"new.row.74","12220",1999,402883
"new.row.75","12220",2000,438945
"new.row.76","12220",2001,450540
"new.row.77","12220",2002,455805
"new.row.78","12220",2003,494626
